Time	Channel A
(us)	(mV)

0.00000000	-14.37422000
0.04000000	-19.76379000
0.08000000	-23.35887000
0.12000000	-28.74844000
0.16000000	-30.54292000
0.20000000	-34.13800000
0.24000000	-35.93859000
0.28000000	-39.52757000
0.32000000	-41.32816000
0.36000000	-43.12265000
0.40000000	-46.71774000
0.44000000	-50.31281000
0.48000000	-52.10730000
0.52000000	-57.50298000
0.56000000	-57.50298000
0.60000000	-61.09195000
0.64000000	-61.09195000
0.68000000	-62.89254000
0.72000000	-68.28211000
0.76000000	-64.68703000
0.80000000	-62.89254000
0.83999999	-62.89254000
0.87999999	-57.50298000
0.91999999	-53.90789000
0.95999999	-48.51222000
0.99999999	-43.12265000
1.03999999	-35.93859000
1.07999999	-28.74844000
1.11999999	-21.55827000
1.15999999	-14.37422000
1.19999999	-7.18405700
1.23999999	0.00000000
1.27999999	7.18405700
1.31999999	12.57363000
1.35999999	19.76379000
1.39999999	23.35887000
1.43999999	28.74844000
1.47999999	32.34352000
1.51999999	35.93859000
1.55999999	39.52757000
1.59999999	41.32816000
1.63999999	43.12265000
1.67999999	48.51222000
1.71999999	50.31281000
1.75999999	55.70238000
1.79999999	59.29746000
1.83999999	62.89254000
1.87999999	64.68703000
1.91999999	70.07660000
1.95999999	70.07660000
1.99999999	71.87719000
2.03999999	71.87719000
2.07999999	70.07660000
2.11999999	68.28211000
2.15999999	62.89254000
2.19999999	57.50298000
2.23999999	53.90789000
2.27999999	46.71774000
2.31999999	37.73308000
2.35999999	30.54292000
2.39999999	23.35887000
2.43999999	17.96930000
2.47999998	8.98464900
2.51999998	3.58897700
2.55999998	-1.79448800
2.59999998	-8.98464900
2.63999998	-14.37422000
2.67999998	-17.96930000
2.71999998	-21.55827000
2.75999998	-26.95395000
2.79999998	-28.74844000
2.83999998	-32.34352000
2.87999998	-35.93859000
2.91999998	-37.73308000
2.95999998	-41.32816000
2.99999998	-43.12265000
3.03999998	-46.71774000
3.07999998	-50.31281000
3.11999998	-52.10730000
3.15999998	-55.70238000
3.19999998	-59.29746000
3.23999998	-59.29746000
3.27999998	-64.68703000
3.31999998	-71.87719000
3.35999998	-62.89254000
3.39999998	-59.29746000
3.43999998	-64.68703000
3.47999998	-64.68703000
3.51999998	-61.09195000
3.55999998	-52.10730000
3.59999998	-48.51222000
3.63999998	-44.92325000
3.67999998	-35.93859000
3.71999998	-28.74844000
3.75999998	-23.35887000
3.79999998	-14.37422000
3.83999998	-7.18405700
3.87999998	0.00000000
3.91999998	5.38956800
3.95999998	12.57363000
3.99999998	17.96930000
4.03999998	23.35887000
4.07999998	26.95395000
4.11999997	28.74844000
4.15999997	35.93859000
4.19999997	37.73308000
4.23999997	39.52757000
4.27999997	43.12265000
4.31999997	48.51222000
4.35999997	52.10730000
4.39999997	55.70238000
4.43999997	57.50298000
4.47999997	62.89254000
4.51999997	66.48762000
4.55999997	70.07660000
4.59999997	71.87719000
4.63999997	71.87719000
4.67999997	71.87719000
4.71999997	70.07660000
4.75999997	66.48762000
4.79999997	64.68703000
4.83999997	59.29746000
4.87999997	53.90789000
4.91999997	46.71774000
4.95999997	39.52757000
4.99999997	32.34352000
5.03999997	25.15336000
5.07999997	17.96930000
5.11999997	10.77914000
5.15999997	3.58897700
5.19999997	-1.79448800
5.23999997	-7.18405700
5.27999997	-12.57363000
5.31999997	-17.96930000
5.35999997	-21.55827000
5.39999997	-25.15336000
5.43999997	-28.74844000
5.47999997	-32.34352000
5.51999997	-35.93859000
5.55999997	-37.73308000
5.59999997	-39.52757000
5.63999997	-43.12265000
5.67999997	-44.92325000
5.71999997	-48.51222000
5.75999996	-52.10730000
5.79999996	-55.70238000
5.83999996	-57.50298000
5.87999996	-61.09195000
5.91999996	-62.89254000
5.95999996	-64.68703000
5.99999996	-64.68703000
6.03999996	-66.48762000
6.07999996	-64.68703000
6.11999996	-62.89254000
6.15999996	-59.29746000
6.19999996	-55.70238000
6.23999996	-50.31281000
6.27999996	-44.92325000
6.31999996	-37.73308000
6.35999996	-32.34352000
6.39999996	-23.35887000
6.43999996	-16.16870000
6.47999996	-8.98464900
6.51999996	-1.79448800
6.55999996	5.38956800
6.59999996	12.57363000
6.63999996	17.96930000
6.67999996	23.35887000
6.71999996	26.95395000
6.75999996	30.54292000
6.79999996	34.13800000
6.83999996	35.93859000
6.87999996	41.32816000
6.91999996	43.12265000
6.95999996	46.71774000
6.99999996	50.31281000
7.03999996	53.90789000
7.07999996	57.50298000
7.11999996	61.09195000
7.15999996	64.68703000
7.19999996	68.28211000
7.23999996	71.87719000
7.27999996	71.87719000
7.31999996	71.87719000
7.35999996	70.07660000
7.39999996	70.07660000
7.43999995	64.68703000
7.47999995	61.09195000
7.51999995	53.90789000
7.55999995	48.51222000
7.59999995	41.32816000
7.63999995	34.13800000
7.67999995	26.95395000
7.71999995	19.76379000
7.75999995	12.57363000
7.79999995	5.38956800
7.83999995	-1.79448800
7.87999995	-7.18405700
7.91999995	-12.57363000
7.95999995	-16.16870000
7.99999995	-21.55827000
8.03999995	-25.15336000
8.07999995	-28.74844000
8.11999995	-30.54292000
8.15999995	-34.13800000
8.19999995	-37.73308000
8.23999995	-39.52757000
8.27999995	-43.12265000
8.31999995	-44.92325000
8.35999995	-48.51222000
8.39999995	-50.31281000
8.43999995	-53.90789000
8.47999995	-57.50298000
8.51999995	-59.29746000
8.55999995	-62.89254000
8.59999995	-64.68703000
8.63999995	-64.68703000
8.67999995	-66.48762000
8.71999995	-64.68703000
8.75999995	-62.89254000
8.79999995	-61.09195000
8.83999995	-57.50298000
8.87999995	-52.10730000
8.91999995	-44.92325000
8.95999995	-39.52757000
8.99999995	-34.13800000
9.03999995	-25.15336000
9.07999994	-17.96930000
9.11999994	-10.77914000
9.15999994	-3.58897700
9.19999994	3.58897700
9.23999994	10.77914000
9.27999994	14.37422000
9.31999994	21.55827000
9.35999994	25.15336000
9.39999994	28.74844000
9.43999994	34.13800000
9.47999994	35.93859000
9.51999994	41.32816000
9.55999994	43.12265000
9.59999994	46.71774000
9.63999994	50.31281000
9.67999994	53.90789000
9.71999994	55.70238000
9.75999994	61.09195000
9.79999994	64.68703000
9.83999994	68.28211000
9.87999994	70.07660000
9.91999994	71.87719000
9.95999994	71.87719000
9.99999994	70.07660000
10.03999994	70.07660000
10.07999994	64.68703000
10.11999994	61.09195000
10.15999994	55.70238000
10.19999994	50.31281000
10.23999994	43.12265000
10.27999994	35.93859000
10.31999994	28.74844000
10.35999994	21.55827000
10.39999994	14.37422000
10.43999994	5.38956800
10.47999994	0.00000000
10.51999994	-5.38956800
10.55999994	-10.77914000
10.59999994	-16.16870000
10.63999994	-19.76379000
10.67999994	-23.35887000
10.71999993	-26.95395000
10.75999993	-30.54292000
10.79999993	-34.13800000
10.83999993	-35.93859000
10.87999993	-39.52757000
10.91999993	-41.32816000
10.95999993	-44.92325000
10.99999993	-48.51222000
11.03999993	-52.10730000
11.07999993	-53.90789000
11.11999993	-57.50298000
11.15999993	-59.29746000
11.19999993	-61.09195000
11.23999993	-61.09195000
11.27999993	-59.29746000
11.31999993	-55.70238000
11.35999993	-52.10730000
11.39999993	-46.71774000
11.43999993	-37.73308000
11.47999993	-43.12265000
11.51999993	-57.50298000
11.55999993	-61.09195000
11.59999993	-57.50298000
11.63999993	-59.29746000
11.67999993	-62.89254000
11.71999993	-55.70238000
11.75999993	-35.93859000
11.79999993	-14.37422000
11.83999993	3.58897700
11.87999993	14.37422000
11.91999993	21.55827000
11.95999993	32.34352000
11.99999993	43.12265000
12.03999993	43.12265000
12.07999993	39.52757000
12.11999993	41.32816000
12.15999993	46.71774000
12.19999993	50.31281000
12.23999993	52.10730000
12.27999993	53.90789000
12.31999993	57.50298000
12.35999992	61.09195000
12.39999992	64.68703000
12.43999992	68.28211000
12.47999992	66.48762000
12.51999992	66.48762000
12.55999992	66.48762000
12.59999992	64.68703000
12.63999992	61.09195000
12.67999992	57.50298000
12.71999992	53.90789000
12.75999992	52.10730000
12.79999992	50.31281000
12.83999992	50.31281000
12.87999992	46.71774000
12.91999992	43.12265000
12.95999992	35.93859000
12.99999992	32.34352000
13.03999992	23.35887000
13.07999992	10.77914000
13.11999992	-1.79448800
13.15999992	-1.79448800
13.19999992	-7.18405700
13.23999992	-14.37422000
13.27999992	-19.76379000
13.31999992	-23.35887000
13.35999992	-25.15336000
13.39999992	-28.74844000
13.43999992	-32.34352000
13.47999992	-37.73308000
13.51999992	-41.32816000
13.55999992	-46.71774000
13.59999992	-50.31281000
13.63999992	-53.90789000
13.67999992	-57.50298000
13.71999992	-59.29746000
13.75999992	-59.29746000
13.79999992	-59.29746000
13.83999992	-61.09195000
13.87999992	-61.09195000
13.91999992	-61.09195000
13.95999992	-61.09195000
13.99999991	-61.09195000
14.03999991	-61.09195000
14.07999991	-59.29746000
14.11999991	-57.50298000
14.15999991	-52.10730000
14.19999991	-46.71774000
14.23999991	-41.32816000
14.27999991	-35.93859000
14.31999991	-28.74844000
14.35999991	-21.55827000
14.39999991	-14.37422000
14.43999991	-7.18405700
14.47999991	0.00000000
14.51999991	5.38956800
14.55999991	10.77914000
14.59999991	16.16870000
14.63999991	21.55827000
14.67999991	25.15336000
14.71999991	28.74844000
14.75999991	32.34352000
14.79999991	35.93859000
14.83999991	41.32816000
14.87999991	44.92325000
14.91999991	50.31281000
14.95999991	53.90789000
14.99999991	57.50298000
15.03999991	62.89254000
15.07999991	64.68703000
15.11999991	66.48762000
15.15999991	70.07660000
15.19999991	70.07660000
15.23999991	71.87719000
15.27999991	70.07660000
15.31999991	70.07660000
15.35999991	64.68703000
15.39999991	62.89254000
15.43999991	57.50298000
15.47999991	52.10730000
15.51999991	43.12265000
15.55999991	35.93859000
15.59999991	28.74844000
15.63999990	21.55827000
15.67999990	14.37422000
15.71999990	7.18405700
15.75999990	1.79448800
15.79999990	-3.58897700
15.83999990	-8.98464900
15.87999990	-12.57363000
15.91999990	-16.16870000
15.95999990	-21.55827000
15.99999990	-25.15336000
16.03999990	-28.74844000
16.07999990	-32.34352000
16.11999990	-35.93859000
16.15999990	-37.73308000
16.19999990	-39.52757000
16.23999990	-43.12265000
16.27999990	-46.71774000
16.31999990	-50.31281000
16.35999990	-53.90789000
16.39999990	-55.70238000
16.43999990	-59.29746000
16.47999990	-61.09195000
16.51999990	-64.68703000
16.55999990	-64.68703000
16.59999990	-66.48762000
16.63999990	-66.48762000
16.67999990	-64.68703000
16.71999990	-62.89254000
16.75999990	-59.29746000
16.79999990	-53.90789000
16.83999990	-50.31281000
16.87999990	-43.12265000
16.91999990	-35.93859000
16.95999990	-28.74844000
16.99999990	-21.55827000
17.03999990	-14.37422000
17.07999990	-7.18405700
17.11999990	0.00000000
17.15999990	5.38956800
17.19999990	12.57363000
17.23999990	17.96930000
17.27999989	23.35887000
17.31999989	26.95395000
17.35999989	30.54292000
17.39999989	34.13800000
17.43999989	35.93859000
17.47999989	41.32816000
17.51999989	43.12265000
17.55999989	46.71774000
17.59999989	50.31281000
17.63999989	53.90789000
17.67999989	57.50298000
17.71999989	62.89254000
17.75999989	64.68703000
17.79999989	68.28211000
17.83999989	71.87719000
17.87999989	71.87719000
17.91999989	71.87719000
17.95999989	71.87719000
17.99999989	70.07660000
18.03999989	61.09195000
18.07999989	55.70238000
18.11999989	55.70238000
18.15999989	52.10730000
18.19999989	39.52757000
18.23999989	30.54292000
18.27999989	23.35887000
18.31999989	19.76379000
18.35999989	10.77914000
18.39999989	3.58897700
18.43999989	-1.79448800
18.47999989	-7.18405700
18.51999989	-14.37422000
18.55999989	-17.96930000
18.59999989	-21.55827000
18.63999989	-26.95395000
18.67999989	-28.74844000
18.71999989	-32.34352000
18.75999989	-34.13800000
18.79999989	-35.93859000
18.83999989	-39.52757000
18.87999989	-43.12265000
18.91999989	-44.92325000
18.95999988	-48.51222000
18.99999988	-50.31281000
19.03999988	-53.90789000
19.07999988	-57.50298000
19.11999988	-59.29746000
19.15999988	-62.89254000
19.19999988	-64.68703000
19.23999988	-64.68703000
19.27999988	-64.68703000
19.31999988	-64.68703000
19.35999988	-62.89254000
19.39999988	-59.29746000
19.43999988	-57.50298000
19.47999988	-52.10730000
19.51999988	-44.92325000
19.55999988	-39.52757000
19.59999988	-32.34352000
19.63999988	-23.35887000
19.67999988	-16.16870000
19.71999988	-8.98464900
19.75999988	-1.79448800
19.79999988	5.38956800
19.83999988	10.77914000
19.87999988	16.16870000
19.91999988	21.55827000
19.95999988	26.95395000
19.99999988	30.54292000
20.03999988	34.13800000
20.07999988	35.93859000
20.11999988	39.52757000
20.15999988	43.12265000
20.19999988	46.71774000
20.23999988	50.31281000
20.27999988	52.10730000
20.31999988	57.50298000
20.35999988	61.09195000
20.39999988	64.68703000
20.43999988	68.28211000
20.47999988	70.07660000
20.51999988	71.87719000
20.55999988	71.87719000
20.59999987	70.07660000
20.63999987	68.28211000
20.67999987	64.68703000
20.71999987	61.09195000
20.75999987	55.70238000
20.79999987	48.51222000
20.83999987	43.12265000
20.87999987	34.13800000
20.91999987	26.95395000
20.95999987	21.55827000
