Time,Channel A
(us),(mV)

0.00000000,5.38956800
0.04000000,7.18405700
0.08000000,7.18405700
0.12000000,7.18405700
0.16000000,7.18405700
0.20000000,7.18405700
0.24000000,7.18405700
0.28000000,7.18405700
0.32000000,5.38956800
0.36000000,5.38956800
0.40000000,5.38956800
0.44000000,3.58897700
0.48000000,5.38956800
0.52000000,3.58897700
0.56000000,1.79448800
0.60000000,1.79448800
0.64000000,0.00000000
0.68000000,1.79448800
0.72000000,0.00000000
0.76000000,-1.79448800
0.80000000,-3.58897700
0.83999999,-1.79448800
0.87999999,-1.79448800
0.91999999,-5.38956800
0.95999999,-5.38956800
0.99999999,-7.18405700
1.03999999,-7.18405700
1.07999999,-7.18405700
1.11999999,-7.18405700
1.15999999,-7.18405700
1.19999999,-7.18405700
1.23999999,-7.18405700
1.27999999,-8.98464900
1.31999999,-8.98464900
1.35999999,-8.98464900
1.39999999,-8.98464900
1.43999999,-7.18405700
1.47999999,-10.77914000
1.51999999,-10.77914000
1.55999999,-7.18405700
1.59999999,-8.98464900
1.63999999,-7.18405700
1.67999999,-7.18405700
1.71999999,-7.18405700
1.75999999,-7.18405700
1.79999999,-7.18405700
1.83999999,-7.18405700
1.87999999,-5.38956800
1.91999999,-5.38956800
1.95999999,-3.58897700
1.99999999,-1.79448800
2.03999999,-1.79448800
2.07999999,-1.79448800
2.11999999,-1.79448800
2.15999999,0.00000000
2.19999999,0.00000000
2.23999999,0.00000000
2.27999999,1.79448800
2.31999999,1.79448800
2.35999999,1.79448800
2.39999999,3.58897700
2.43999999,3.58897700
2.47999998,1.79448800
2.51999998,3.58897700
2.55999998,0.00000000
2.59999998,3.58897700
2.63999998,5.38956800
2.67999998,7.18405700
2.71999998,5.38956800
2.75999998,3.58897700
2.79999998,3.58897700
2.83999998,3.58897700
2.87999998,3.58897700
2.91999998,3.58897700
2.95999998,3.58897700
2.99999998,1.79448800
3.03999998,3.58897700
3.07999998,1.79448800
3.11999998,1.79448800
3.15999998,0.00000000
3.19999998,0.00000000
3.23999998,0.00000000
3.27999998,0.00000000
3.31999998,0.00000000
3.35999998,-1.79448800
3.39999998,-1.79448800
3.43999998,-1.79448800
3.47999998,-1.79448800
3.51999998,-3.58897700
3.55999998,-3.58897700
3.59999998,-3.58897700
3.63999998,-3.58897700
3.67999998,-5.38956800
3.71999998,-5.38956800
3.75999998,-5.38956800
3.79999998,-5.38956800
3.83999998,-5.38956800
3.87999998,-5.38956800
3.91999998,-5.38956800
3.95999998,-5.38956800
3.99999998,-7.18405700
4.03999998,-5.38956800
4.07999998,-5.38956800
4.11999997,-7.18405700
4.15999997,-7.18405700
4.19999997,-7.18405700
4.23999997,-7.18405700
4.27999997,-7.18405700
4.31999997,-7.18405700
4.35999997,-7.18405700
4.39999997,-5.38956800
4.43999997,-5.38956800
4.47999997,-5.38956800
4.51999997,-5.38956800
4.55999997,-5.38956800
4.59999997,-3.58897700
4.63999997,-3.58897700
4.67999997,-3.58897700
4.71999997,-1.79448800
4.75999997,-1.79448800
4.79999997,-1.79448800
4.83999997,-1.79448800
4.87999997,-1.79448800
4.91999997,0.00000000
4.95999997,0.00000000
4.99999997,0.00000000
5.03999997,0.00000000
5.07999997,0.00000000
5.11999997,0.00000000
5.15999997,0.00000000
5.19999997,1.79448800
5.23999997,1.79448800
5.27999997,3.58897700
5.31999997,3.58897700
5.35999997,1.79448800
5.39999997,1.79448800
5.43999997,0.00000000
5.47999997,0.00000000
5.51999997,1.79448800
5.55999997,3.58897700
5.59999997,1.79448800
5.63999997,0.00000000
5.67999997,1.79448800
5.71999997,1.79448800
5.75999996,1.79448800
5.79999996,0.00000000
5.83999996,0.00000000
5.87999996,0.00000000
5.91999996,0.00000000
5.95999996,0.00000000
5.99999996,0.00000000
6.03999996,-1.79448800
6.07999996,-1.79448800
6.11999996,-1.79448800
6.15999996,-1.79448800
6.19999996,-1.79448800
6.23999996,-1.79448800
6.27999996,-3.58897700
6.31999996,-1.79448800
6.35999996,-3.58897700
6.39999996,-3.58897700
6.43999996,-3.58897700
6.47999996,-5.38956800
6.51999996,-5.38956800
6.55999996,-5.38956800
6.59999996,-5.38956800
6.63999996,-5.38956800
6.67999996,-5.38956800
6.71999996,-5.38956800
6.75999996,-5.38956800
6.79999996,-5.38956800
6.83999996,-5.38956800
6.87999996,-5.38956800
6.91999996,-5.38956800
6.95999996,-5.38956800
6.99999996,-5.38956800
7.03999996,-3.58897700
7.07999996,-3.58897700
7.11999996,-5.38956800
7.15999996,-5.38956800
7.19999996,-3.58897700
7.23999996,-3.58897700
7.27999996,-3.58897700
7.31999996,-3.58897700
7.35999996,-3.58897700
7.39999996,-1.79448800
7.43999995,-1.79448800
7.47999995,0.00000000
7.51999995,-10.77914000
7.55999995,0.00000000
7.59999995,3.58897700
7.63999995,1.79448800
7.67999995,-1.79448800
7.71999995,-3.58897700
7.75999995,0.00000000
7.79999995,1.79448800
7.83999995,0.00000000
7.87999995,0.00000000
7.91999995,1.79448800
7.95999995,1.79448800
7.99999995,0.00000000
8.03999995,0.00000000
8.07999995,1.79448800
8.11999995,0.00000000
8.15999995,0.00000000
8.19999995,0.00000000
8.23999995,1.79448800
8.27999995,0.00000000
8.31999995,0.00000000
8.35999995,1.79448800
8.39999995,0.00000000
8.43999995,0.00000000
8.47999995,0.00000000
8.51999995,0.00000000
8.55999995,-3.58897700
8.59999995,-14.37422000
8.63999995,-35.93859000
8.67999995,-30.54292000
8.71999995,-8.98464900
8.75999995,1.79448800
8.79999995,1.79448800
8.83999995,10.77914000
8.87999995,34.13800000
8.91999995,48.51222000
8.95999995,39.52757000
8.99999995,19.76379000
9.03999995,3.58897700
9.07999994,0.00000000
9.11999994,0.00000000
9.15999994,-10.77914000
9.19999994,-26.95395000
9.23999994,-25.15336000
9.27999994,-12.57363000
9.31999994,-7.18405700
9.35999994,-14.37422000
9.39999994,-19.76379000
9.43999994,-17.96930000
9.47999994,-8.98464900
9.51999994,-7.18405700
9.55999994,-8.98464900
9.59999994,-10.77914000
9.63999994,-8.98464900
9.67999994,-5.38956800
9.71999994,-1.79448800
9.75999994,-3.58897700
9.79999994,-3.58897700
9.83999994,0.00000000
9.87999994,5.38956800
9.91999994,10.77914000
9.95999994,12.57363000
9.99999994,8.98464900
10.03999994,5.38956800
10.07999994,1.79448800
10.11999994,0.00000000
10.15999994,-7.18405700
10.19999994,-14.37422000
10.23999994,-14.37422000
10.27999994,-12.57363000
10.31999994,-7.18405700
10.35999994,-3.58897700
10.39999994,0.00000000
10.43999994,1.79448800
10.47999994,3.58897700
10.51999994,1.79448800
10.55999994,1.79448800
10.59999994,0.00000000
10.63999994,-1.79448800
10.67999994,0.00000000
10.71999993,0.00000000
10.75999993,3.58897700
10.79999993,5.38956800
10.83999993,7.18405700
10.87999993,8.98464900
10.91999993,7.18405700
10.95999993,5.38956800
10.99999993,3.58897700
11.03999993,0.00000000
11.07999993,-1.79448800
11.11999993,-3.58897700
11.15999993,-5.38956800
11.19999993,-5.38956800
11.23999993,-5.38956800
11.27999993,-3.58897700
11.31999993,-5.38956800
11.35999993,-3.58897700
11.39999993,-3.58897700
11.43999993,-3.58897700
11.47999993,-1.79448800
11.51999993,0.00000000
11.55999993,0.00000000
11.59999993,0.00000000
11.63999993,0.00000000
11.67999993,0.00000000
11.71999993,-1.79448800
11.75999993,-3.58897700
11.79999993,-3.58897700
11.83999993,-1.79448800
11.87999993,-1.79448800
11.91999993,0.00000000
11.95999993,0.00000000
11.99999993,-1.79448800
12.03999993,-1.79448800
12.07999993,-5.38956800
12.11999993,-7.18405700
12.15999993,-8.98464900
12.19999993,-7.18405700
12.23999993,-7.18405700
12.27999993,-7.18405700
12.31999993,-5.38956800
12.35999992,-3.58897700
12.39999992,-5.38956800
12.43999992,-1.79448800
12.47999992,0.00000000
12.51999992,1.79448800
12.55999992,0.00000000
12.59999992,-1.79448800
12.63999992,-3.58897700
12.67999992,-1.79448800
12.71999992,-1.79448800
12.75999992,0.00000000
12.79999992,-1.79448800
12.83999992,0.00000000
12.87999992,0.00000000
12.91999992,0.00000000
12.95999992,-1.79448800
12.99999992,-3.58897700
13.03999992,-3.58897700
13.07999992,-1.79448800
13.11999992,-1.79448800
13.15999992,-1.79448800
13.19999992,-1.79448800
13.23999992,-1.79448800
13.27999992,0.00000000
13.31999992,0.00000000
13.35999992,0.00000000
13.39999992,1.79448800
13.43999992,0.00000000
13.47999992,0.00000000
13.51999992,0.00000000
13.55999992,1.79448800
13.59999992,0.00000000
13.63999992,1.79448800
13.67999992,0.00000000
13.71999992,0.00000000
13.75999992,0.00000000
13.79999992,-1.79448800
13.83999992,-1.79448800
13.87999992,-1.79448800
13.91999992,-1.79448800
13.95999992,0.00000000
13.99999991,0.00000000
14.03999991,-1.79448800
14.07999991,-1.79448800
14.11999991,-1.79448800
14.15999991,-3.58897700
14.19999991,-3.58897700
14.23999991,-3.58897700
14.27999991,-1.79448800
14.31999991,-1.79448800
14.35999991,-1.79448800
14.39999991,-1.79448800
14.43999991,-1.79448800
14.47999991,-1.79448800
14.51999991,-1.79448800
14.55999991,-1.79448800
14.59999991,-1.79448800
14.63999991,-3.58897700
14.67999991,-3.58897700
14.71999991,-3.58897700
14.75999991,-3.58897700
14.79999991,-3.58897700
14.83999991,-3.58897700
14.87999991,-3.58897700
14.91999991,-3.58897700
14.95999991,-3.58897700
14.99999991,-1.79448800
15.03999991,-1.79448800
15.07999991,-1.79448800
15.11999991,-1.79448800
15.15999991,-3.58897700
15.19999991,-7.18405700
15.23999991,-10.77914000
15.27999991,-17.96930000
15.31999991,-23.35887000
15.35999991,-25.15336000
15.39999991,-23.35887000
15.43999991,-12.57363000
15.47999991,1.79448800
15.51999991,16.16870000
15.55999991,28.74844000
15.59999991,37.73308000
15.63999990,41.32816000
15.67999990,34.13800000
15.71999990,21.55827000
15.75999990,7.18405700
15.79999990,-1.79448800
15.83999990,-8.98464900
15.87999990,-14.37422000
15.91999990,-17.96930000
15.95999990,-17.96930000
15.99999990,-14.37422000
16.03999990,-12.57363000
16.07999990,-12.57363000
16.11999990,-12.57363000
16.15999990,-10.77914000
16.19999990,-7.18405700
16.23999990,-5.38956800
16.27999990,-5.38956800
16.31999990,-3.58897700
16.35999990,-3.58897700
16.39999990,0.00000000
16.43999990,0.00000000
16.47999990,1.79448800
16.51999990,5.38956800
16.55999990,7.18405700
16.59999990,10.77914000
16.63999990,12.57363000
16.67999990,12.57363000
16.71999990,10.77914000
16.75999990,5.38956800
16.79999990,0.00000000
16.83999990,-7.18405700
16.87999990,-10.77914000
16.91999990,-14.37422000
16.95999990,-14.37422000
16.99999990,-10.77914000
17.03999990,-7.18405700
17.07999990,-3.58897700
17.11999990,0.00000000
17.15999990,0.00000000
17.19999990,0.00000000
17.23999990,0.00000000
17.27999989,-1.79448800
17.31999989,-1.79448800
17.35999989,-10.77914000
17.39999989,-1.79448800
17.43999989,3.58897700
17.47999989,7.18405700
17.51999989,3.58897700
17.55999989,3.58897700
17.59999989,5.38956800
17.63999989,5.38956800
17.67999989,1.79448800
17.71999989,-1.79448800
17.75999989,-3.58897700
17.79999989,-5.38956800
17.83999989,-7.18405700
17.87999989,-7.18405700
17.91999989,-7.18405700
17.95999989,-7.18405700
17.99999989,-7.18405700
18.03999989,-5.38956800
18.07999989,-3.58897700
18.11999989,-3.58897700
18.15999989,-1.79448800
18.19999989,-1.79448800
18.23999989,0.00000000
18.27999989,0.00000000
18.31999989,0.00000000
18.35999989,0.00000000
18.39999989,0.00000000
18.43999989,-1.79448800
18.47999989,-1.79448800
18.51999989,0.00000000
18.55999989,0.00000000
18.59999989,1.79448800
18.63999989,1.79448800
18.67999989,1.79448800
18.71999989,0.00000000
18.75999989,-1.79448800
18.79999989,-3.58897700
18.83999989,-5.38956800
18.87999989,-5.38956800
18.91999989,-5.38956800
18.95999988,-3.58897700
18.99999988,-1.79448800
19.03999988,-1.79448800
19.07999988,0.00000000
19.11999988,1.79448800
19.15999988,1.79448800
19.19999988,1.79448800
19.23999988,0.00000000
19.27999988,0.00000000
19.31999988,0.00000000
19.35999988,0.00000000
19.39999988,0.00000000
19.43999988,0.00000000
19.47999988,0.00000000
19.51999988,0.00000000
19.55999988,0.00000000
19.59999988,-1.79448800
19.63999988,-1.79448800
19.67999988,-1.79448800
19.71999988,-1.79448800
19.75999988,-3.58897700
19.79999988,-3.58897700
19.83999988,-1.79448800
19.87999988,-3.58897700
19.91999988,-1.79448800
19.95999988,-3.58897700
19.99999988,-1.79448800
20.03999988,-1.79448800
20.07999988,-1.79448800
20.11999988,0.00000000
20.15999988,-1.79448800
20.19999988,0.00000000
20.23999988,0.00000000
20.27999988,0.00000000
20.31999988,-1.79448800
20.35999988,-1.79448800
20.39999988,-1.79448800
20.43999988,-1.79448800
20.47999988,-3.58897700
20.51999988,-3.58897700
20.55999988,-3.58897700
20.59999987,-3.58897700
20.63999987,-3.58897700
20.67999987,-1.79448800
20.71999987,-1.79448800
20.75999987,-3.58897700
20.79999987,-3.58897700
20.83999987,-3.58897700
20.87999987,-3.58897700
