Time,Channel A
(us),(mV)

0.00000000,-8.98464900
0.04000000,-7.18405700
0.08000000,-5.38956800
0.12000000,-3.58897700
0.16000000,-1.79448800
0.20000000,0.00000000
0.24000000,3.58897700
0.28000000,5.38956800
0.32000000,7.18405700
0.36000000,8.98464900
0.40000000,10.77914000
0.44000000,12.57363000
0.48000000,14.37422000
0.52000000,14.37422000
0.56000000,16.16870000
0.60000000,17.96930000
0.64000000,17.96930000
0.68000000,19.76379000
0.72000000,21.55827000
0.76000000,17.96930000
0.80000000,17.96930000
0.83999999,17.96930000
0.87999999,21.55827000
0.91999999,17.96930000
0.95999999,16.16870000
0.99999999,16.16870000
1.03999999,16.16870000
1.07999999,16.16870000
1.11999999,12.57363000
1.15999999,12.57363000
1.19999999,12.57363000
1.23999999,7.18405700
1.27999999,7.18405700
1.31999999,7.18405700
1.35999999,3.58897700
1.39999999,1.79448800
1.43999999,0.00000000
1.47999999,-1.79448800
1.51999999,-3.58897700
1.55999999,-7.18405700
1.59999999,-7.18405700
1.63999999,-8.98464900
1.67999999,-10.77914000
1.71999999,-14.37422000
1.75999999,-14.37422000
1.79999999,-14.37422000
1.83999999,-16.16870000
1.87999999,-17.96930000
1.91999999,-19.76379000
1.95999999,-21.55827000
1.99999999,-21.55827000
2.03999999,-21.55827000
2.07999999,-21.55827000
2.11999999,-26.95395000
2.15999999,-25.15336000
2.19999999,-21.55827000
2.23999999,-17.96930000
2.27999999,-21.55827000
2.31999999,-21.55827000
2.35999999,-21.55827000
2.39999999,-17.96930000
2.43999999,-17.96930000
2.47999998,-16.16870000
2.51999998,-14.37422000
2.55999998,-14.37422000
2.59999998,-10.77914000
2.63999998,-10.77914000
2.67999998,-7.18405700
2.71999998,-7.18405700
2.75999998,-5.38956800
2.79999998,-3.58897700
2.83999998,-1.79448800
2.87999998,0.00000000
2.91999998,1.79448800
2.95999998,3.58897700
2.99999998,5.38956800
3.03999998,7.18405700
3.07999998,8.98464900
3.11999998,10.77914000
3.15999998,12.57363000
3.19999998,12.57363000
3.23999998,14.37422000
3.27999998,14.37422000
3.31999998,16.16870000
3.35999998,16.16870000
3.39999998,17.96930000
3.43999998,17.96930000
3.47999998,17.96930000
3.51999998,17.96930000
3.55999998,16.16870000
3.59999998,17.96930000
3.63999998,16.16870000
3.67999998,16.16870000
3.71999998,14.37422000
3.75999998,12.57363000
3.79999998,12.57363000
3.83999998,10.77914000
3.87999998,8.98464900
3.91999998,7.18405700
3.95999998,5.38956800
3.99999998,5.38956800
4.03999998,1.79448800
4.07999998,1.79448800
4.11999997,-1.79448800
4.15999997,-1.79448800
4.19999997,-3.58897700
4.23999997,-7.18405700
4.27999997,-7.18405700
4.31999997,-8.98464900
4.35999997,-10.77914000
4.39999997,-12.57363000
4.43999997,-14.37422000
4.47999997,-14.37422000
4.51999997,-16.16870000
4.55999997,-17.96930000
4.59999997,-19.76379000
4.63999997,-19.76379000
4.67999997,-19.76379000
4.71999997,-21.55827000
4.75999997,-21.55827000
4.79999997,-21.55827000
4.83999997,-21.55827000
4.87999997,-21.55827000
4.91999997,-21.55827000
4.95999997,-21.55827000
4.99999997,-19.76379000
5.03999997,-19.76379000
5.07999997,-17.96930000
5.11999997,-16.16870000
5.15999997,-14.37422000
5.19999997,-14.37422000
5.23999997,-12.57363000
5.27999997,-10.77914000
5.31999997,-8.98464900
5.35999997,-7.18405700
5.39999997,-7.18405700
5.43999997,-3.58897700
5.47999997,-1.79448800
5.51999997,0.00000000
5.55999997,1.79448800
5.59999997,3.58897700
5.63999997,3.58897700
5.67999997,5.38956800
5.71999997,7.18405700
5.75999996,7.18405700
5.79999996,10.77914000
5.83999996,12.57363000
5.87999996,12.57363000
5.91999996,12.57363000
5.95999996,12.57363000
5.99999996,14.37422000
6.03999996,14.37422000
6.07999996,14.37422000
6.11999996,14.37422000
6.15999996,16.16870000
6.19999996,16.16870000
6.23999996,16.16870000
6.27999996,14.37422000
6.31999996,14.37422000
6.35999996,14.37422000
6.39999996,14.37422000
6.43999996,12.57363000
6.47999996,10.77914000
6.51999996,8.98464900
6.55999996,8.98464900
6.59999996,7.18405700
6.63999996,5.38956800
6.67999996,3.58897700
6.71999996,1.79448800
6.75999996,0.00000000
6.79999996,-1.79448800
6.83999996,-3.58897700
6.87999996,-5.38956800
6.91999996,-7.18405700
6.95999996,-7.18405700
6.99999996,-8.98464900
7.03999996,-7.18405700
7.07999996,-16.16870000
7.11999996,-17.96930000
7.15999996,-10.77914000
7.19999996,-8.98464900
7.23999996,-16.16870000
7.27999996,-17.96930000
7.31999996,-19.76379000
7.35999996,-14.37422000
7.39999996,-17.96930000
7.43999995,-19.76379000
7.47999995,-17.96930000
7.51999995,-16.16870000
7.55999995,-19.76379000
7.59999995,-19.76379000
7.63999995,-16.16870000
7.67999995,-17.96930000
7.71999995,-17.96930000
7.75999995,-16.16870000
7.79999995,-14.37422000
7.83999995,-14.37422000
7.87999995,-14.37422000
7.91999995,-12.57363000
7.95999995,-8.98464900
7.99999995,-8.98464900
8.03999995,-7.18405700
8.07999995,-5.38956800
8.11999995,-5.38956800
8.15999995,-3.58897700
8.19999995,-1.79448800
8.23999995,0.00000000
8.27999995,1.79448800
8.31999995,3.58897700
8.35999995,5.38956800
8.39999995,5.38956800
8.43999995,7.18405700
8.47999995,8.98464900
8.51999995,8.98464900
8.55999995,12.57363000
8.59999995,12.57363000
8.63999995,12.57363000
8.67999995,12.57363000
8.71999995,14.37422000
8.75999995,14.37422000
8.79999995,14.37422000
8.83999995,14.37422000
8.87999995,14.37422000
8.91999995,14.37422000
8.95999995,14.37422000
8.99999995,14.37422000
9.03999995,14.37422000
9.07999994,12.57363000
9.11999994,10.77914000
9.15999994,8.98464900
9.19999994,8.98464900
9.23999994,8.98464900
9.27999994,5.38956800
9.31999994,5.38956800
9.35999994,3.58897700
9.39999994,1.79448800
9.43999994,0.00000000
9.47999994,0.00000000
9.51999994,-1.79448800
9.55999994,-3.58897700
9.59999994,-5.38956800
9.63999994,-7.18405700
9.67999994,-8.98464900
9.71999994,-10.77914000
9.75999994,-12.57363000
9.79999994,-14.37422000
9.83999994,-14.37422000
9.87999994,-14.37422000
9.91999994,-16.16870000
9.95999994,-17.96930000
9.99999994,-16.16870000
10.03999994,-17.96930000
10.07999994,-17.96930000
10.11999994,-19.76379000
10.15999994,-16.16870000
10.19999994,-17.96930000
10.23999994,-17.96930000
10.27999994,-17.96930000
10.31999994,-17.96930000
10.35999994,-16.16870000
10.39999994,-14.37422000
10.43999994,-14.37422000
10.47999994,-14.37422000
10.51999994,-14.37422000
10.55999994,-14.37422000
10.59999994,-10.77914000
10.63999994,-8.98464900
10.67999994,-8.98464900
10.71999993,-8.98464900
10.75999993,-5.38956800
10.79999993,-3.58897700
10.83999993,-1.79448800
10.87999993,-1.79448800
10.91999993,0.00000000
10.95999993,1.79448800
10.99999993,3.58897700
11.03999993,5.38956800
11.07999993,5.38956800
11.11999993,7.18405700
11.15999993,7.18405700
11.19999993,8.98464900
11.23999993,10.77914000
11.27999993,10.77914000
11.31999993,12.57363000
11.35999993,12.57363000
11.39999993,12.57363000
11.43999993,14.37422000
11.47999993,14.37422000
11.51999993,14.37422000
11.55999993,14.37422000
11.59999993,12.57363000
11.63999993,12.57363000
11.67999993,12.57363000
11.71999993,10.77914000
11.75999993,8.98464900
11.79999993,8.98464900
11.83999993,7.18405700
11.87999993,7.18405700
11.91999993,5.38956800
11.95999993,1.79448800
11.99999993,0.00000000
12.03999993,1.79448800
12.07999993,3.58897700
12.11999993,0.00000000
12.15999993,-1.79448800
12.19999993,-5.38956800
12.23999993,-3.58897700
12.27999993,-7.18405700
12.31999993,-7.18405700
12.35999992,-8.98464900
12.39999992,-8.98464900
12.43999992,-10.77914000
12.47999992,-10.77914000
12.51999992,-14.37422000
12.55999992,-14.37422000
12.59999992,-16.16870000
12.63999992,-16.16870000
12.67999992,-16.16870000
12.71999992,-16.16870000
12.75999992,-17.96930000
12.79999992,-17.96930000
12.83999992,-16.16870000
12.87999992,-17.96930000
12.91999992,-17.96930000
12.95999992,-17.96930000
12.99999992,-16.16870000
13.03999992,-14.37422000
13.07999992,-14.37422000
13.11999992,-14.37422000
13.15999992,-12.57363000
13.19999992,-10.77914000
13.23999992,-10.77914000
13.27999992,-10.77914000
13.31999992,-7.18405700
13.35999992,1.79448800
13.39999992,21.55827000
13.43999992,28.74844000
13.47999992,17.96930000
13.51999992,3.58897700
13.55999992,0.00000000
13.59999992,-8.98464900
13.63999992,-26.95395000
13.67999992,-44.92325000
13.71999992,-50.31281000
13.75999992,-34.13800000
13.79999992,-10.77914000
13.83999992,0.00000000
13.87999992,5.38956800
13.91999992,16.16870000
13.95999992,28.74844000
13.99999991,34.13800000
14.03999991,28.74844000
14.07999991,19.76379000
14.11999991,17.96930000
14.15999991,21.55827000
14.19999991,25.15336000
14.23999991,21.55827000
14.27999991,16.16870000
14.31999991,17.96930000
14.35999991,17.96930000
14.39999991,19.76379000
14.43999991,14.37422000
14.47999991,8.98464900
14.51999991,7.18405700
14.55999991,3.58897700
14.59999991,0.00000000
14.63999991,-7.18405700
14.67999991,-12.57363000
14.71999991,-14.37422000
14.75999991,-14.37422000
14.79999991,-10.77914000
14.83999991,-7.18405700
14.87999991,-5.38956800
14.91999991,-1.79448800
14.95999991,1.79448800
14.99999991,5.38956800
15.03999991,1.79448800
15.07999991,-1.79448800
15.11999991,-5.38956800
15.15999991,-10.77914000
15.19999991,-10.77914000
15.23999991,-14.37422000
15.27999991,-16.16870000
15.31999991,-14.37422000
15.35999991,-14.37422000
15.39999991,-12.57363000
15.43999991,-14.37422000
15.47999991,-16.16870000
15.51999991,-19.76379000
15.55999991,-21.55827000
15.59999991,-23.35887000
15.63999990,-25.15336000
15.67999990,-25.15336000
15.71999990,-23.35887000
15.75999990,-19.76379000
15.79999990,-16.16870000
15.83999990,-12.57363000
15.87999990,-8.98464900
15.91999990,-5.38956800
15.95999990,-3.58897700
15.99999990,-1.79448800
16.03999990,-1.79448800
16.07999990,-1.79448800
16.11999990,-1.79448800
16.15999990,0.00000000
16.19999990,0.00000000
16.23999990,0.00000000
16.27999990,1.79448800
16.31999990,1.79448800
16.35999990,1.79448800
16.39999990,3.58897700
16.43999990,3.58897700
16.47999990,5.38956800
16.51999990,7.18405700
16.55999990,7.18405700
16.59999990,5.38956800
16.63999990,1.79448800
16.67999990,0.00000000
16.71999990,1.79448800
16.75999990,10.77914000
16.79999990,30.54292000
16.83999990,59.29746000
16.87999990,98.83114000
16.91999990,138.36480000
16.95999990,158.12860000
16.99999990,150.94450000
17.03999990,154.53350000
17.07999990,143.75440000
17.11999990,125.78510000
17.15999990,100.62560000
17.19999990,79.06125000
17.23999990,61.09195000
17.27999989,39.52757000
17.31999989,17.96930000
17.35999989,0.00000000
17.39999989,-14.37422000
17.43999989,-32.34352000
17.47999989,-55.70238000
17.51999989,-79.06125000
17.55999989,-109.61030000
17.59999989,-150.94450000
17.63999989,-152.73900000
17.67999989,-140.15930000
17.71999989,-107.81580000
17.75999989,-102.42620000
17.79999989,-93.44157000
17.83999989,-86.25141000
17.87999989,-79.06125000
17.91999989,-77.26676000
17.95999989,-71.87719000
17.99999989,-61.09195000
18.03999989,-55.70238000
18.07999989,-55.70238000
18.11999989,-59.29746000
18.15999989,-66.48762000
18.19999989,-77.26676000
18.23999989,-84.45692000
18.27999989,-79.06125000
18.31999989,-68.28211000
18.35999989,-57.50298000
18.39999989,-46.71774000
18.43999989,-34.13800000
18.47999989,-25.15336000
18.51999989,-19.76379000
18.55999989,-12.57363000
18.59999989,-7.18405700
18.63999989,-1.79448800
18.67999989,1.79448800
18.71999989,12.57363000
18.75999989,26.95395000
18.79999989,50.31281000
18.83999989,75.47227000
18.87999989,106.01520000
18.91999989,129.38020000
18.95999988,140.15930000
18.99999988,143.75440000
19.03999988,138.36480000
19.07999988,134.76970000
19.11999988,125.78510000
19.15999988,120.39550000
19.19999988,115.00600000
19.23999988,111.41090000
19.27999988,106.01520000
19.31999988,102.42620000
19.35999988,97.03055000
19.39999988,97.03055000
19.43999988,97.03055000
19.47999988,97.03055000
19.51999988,93.44157000
19.55999988,89.84650000
19.59999988,79.06125000
19.63999988,64.68703000
19.67999988,52.10730000
19.71999988,39.52757000
19.75999988,26.95395000
19.79999988,12.57363000
19.83999988,-8.98464900
19.87999988,-37.73308000
19.91999988,-71.87719000
19.95999988,-109.61030000
19.99999988,-147.34950000
20.03999988,-159.92920000
20.07999988,-140.15930000
20.11999988,-113.20540000
20.15999988,-95.23605000
20.19999988,-84.45692000
20.23999988,-70.07660000
20.27999988,-61.09195000
20.31999988,-55.70238000
20.35999988,-50.31281000
20.39999988,-43.12265000
20.43999988,-43.12265000
20.47999988,-50.31281000
20.51999988,-62.89254000
20.55999988,-73.67168000
20.59999987,-82.65633000
20.63999987,-86.25141000
20.67999987,-77.26676000
20.71999987,-64.68703000
20.75999987,-50.31281000
20.79999987,-35.93859000
20.83999987,-21.55827000
20.87999987,-8.98464900
20.91999987,-1.79448800
20.95999987,3.58897700
